# pid_algorithm_sim v1
# alg: step2
# set_pid: 2000 25 350000
# noise: 33, tau_max: 0.4, inertia: 5.4e-06, coulomb: 0.022, static: 0.13, viscous: 0.0009, load: 0, seed: 1
t_s,error,p_term,i_term,d_term,output,desired,actual,voltage
0.028928,-35,-70000,-20350,-371858,-226,0,35,1
0.029184,44,88000,-18725,492165,274,0,-44,1
0.029440,-18,-36000,-15825,-262488,-153,0,18,1
0.029696,-85,-170000,-16300,-995267,-577,0,85,3
0.029952,25,50000,-18025,284362,154,0,-25,0
0.030208,53,106000,-19525,612472,341,0,-53,1
0.030464,39,78000,-15525,382795,217,0,-39,0
0.030720,-59,-118000,-17550,-689031,-403,0,59,2
0.030976,24,48000,-17500,284362,154,0,-24,0
0.031232,-41,-82000,-18400,-448417,-268,0,41,2
0.031488,29,58000,-20550,382795,205,0,-29,0
0.031744,-15,-30000,-21075,-131244,-89,0,15,1
0.032000,33,66000,-21700,404669,219,0,-33,0
0.032256,-49,-98000,-22375,-535913,-320,0,49,2
0.032512,-39,-78000,-25050,-415606,-253,0,39,1
0.032768,-45,-90000,-29400,-426543,-267,0,45,2
0.033024,-43,-86000,-27050,-470291,-285,0,43,2
0.033280,-9,-18000,-27275,-65622,-54,0,9,1
0.033536,30,60000,-28400,382795,202,0,-30,0
0.033792,-47,-94000,-28000,-514039,-311,0,47,2
0.034048,-22,-44000,-27775,-240614,-153,0,22,1
0.034304,-6,-12000,-29725,-21874,-31,0,6,1
0.034560,-64,-128000,-28175,-721842,-429,0,64,2
0.034816,12,24000,-27075,131244,63,0,-12,0
0.035072,-29,-58000,-23650,-415606,-243,0,29,1
0.035328,-26,-52000,-19375,-426543,-243,0,26,1
0.035584,26,52000,-16150,174992,103,0,-26,0
0.035840,25,50000,-16075,207803,118,0,-25,0
0.036096,-41,-82000,-18900,-481228,-284,0,41,2
0.036352,-24,-48000,-17550,-295299,-176,0,24,1
0.036608,-13,-26000,-18775,-142181,-91,0,13,1
0.036864,-7,-14000,-19175,-65622,-48,0,7,1
0.037120,-34,-68000,-20125,-349984,-214,0,34,1
0.037376,-20,-40000,-19350,-196866,-125,0,20,1
0.037632,-64,-128000,-18200,-721842,-424,0,64,2
0.037888,-37,-74000,-21875,-339047,-212,0,37,1
0.038144,-19,-38000,-23200,-164055,-110,0,19,1
0.038400,11,22000,-25150,196866,95,0,-11,0
0.038656,-1,-2000,-22725,-10937,-17,0,1,1
0.038912,32,64000,-21525,371858,202,0,-32,0
0.039168,-32,-64000,-16375,-448417,-258,0,32,2
0.039424,26,52000,-16825,251551,140,0,-26,0
0.039680,-2,-4000,-16825,-43748,-32,0,2,1
0.039936,15,30000,-14925,120307,66,0,-15,0
0.040192,-31,-62000,-16300,-371858,-220,0,31,1
0.040448,-17,-34000,-15475,-196866,-120,0,17,1
0.040704,18,36000,-16800,229677,122,0,-18,0
0.040960,64,128000,-15150,710905,402,0,-64,1
0.041216,-48,-96000,-16950,-535913,-317,0,48,2
