Designator,Mid X,Mid Y,Rotation,Layer
C1,145.39,-113.93,135.0,bottom
C10,129.20671,-105.901916,315.0,bottom
C11,128.18,-104.85,315.0,bottom
C12,152.91,-116.97,270.0,bottom
C13,149.87,-116.9,270.0,bottom
C14,132.32671,-109.001916,315.0,bottom
C15,130.24671,-106.931916,315.0,bottom
C16,151.35,-116.93,270.0,bottom
C17,150.18,-78.9,90.0,bottom
C18,143.815,-82.975,270.0,bottom
C19,131.28671,-107.961916,315.0,bottom
C2,160.71,-113.08,225.0,bottom
C20,151.28,-78.9,90.0,bottom
C21,145.76,-106.25,225.0,bottom
C22,136.57,-84.32,225.0,bottom
C23,152.33,-79.2,90.0,bottom
C24,150.24,-113.84,135.0,bottom
C25,135.12,-87.28,90.0,bottom
C26,131.77,-91.28,270.0,bottom
C27,165.81,-106.98,225.0,bottom
C28,135.167898,-78.507898,45.0,bottom
C29,166.8,-105.89,225.0,bottom
C3,159.19,-111.29,135.0,bottom
C30,134.495,-79.845,135.0,bottom
C31,143.87,-116.885,270.0,bottom
C32,134.338702,-111.179924,315.0,bottom
C33,135.338702,-112.299924,315.0,bottom
C34,136.38,-113.33,315.0,bottom
C35,170.55,-88.5,0.0,bottom
C36,153.53,-81.0,180.0,bottom
C37,146.28,-83.15,0.0,bottom
C38,145.37,-117.01,270.0,bottom
C39,146.87,-116.885,270.0,bottom
C4,149.28,-112.72,135.0,bottom
C40,167.93,-102.16,180.0,bottom
C41,148.58,-79.2,90.0,bottom
C43,165.632501,-100.940002,90.0,bottom
C44,129.77,-87.13,180.0,bottom
C45,132.75,-87.14,0.0,bottom
C46,132.67,-96.14,45.0,bottom
C49,133.69,-95.09,45.0,bottom
C5,147.54,-111.87,135.0,bottom
C51,128.03,-96.04,180.0,bottom
C6,161.77,-112.02,225.0,bottom
C7,133.35671,-110.041916,315.0,bottom
C8,148.37,-116.9,270.0,bottom
C9,144.78,-78.59,90.0,bottom
D1,160.25,-74.09,35.5,bottom
D2,167.42,-80.97,32.0,bottom
J1,134.565477,-73.914523,135.0,top
J2,168.32,-92.87,0.0,top
J4,149.55,-120.24,270.0,bottom
Q1,146.089756,-101.386289,22.5,bottom
Q2,156.59,-98.76,315.0,bottom
Q3,152.37,-101.5,337.5,bottom
Q4,142.06,-98.32,45.0,bottom
Q5,128.98,-90.167501,180.0,bottom
Q6,127.6225,-93.61,180.0,bottom
R1,161.124804,-106.864804,45.0,bottom
R10,164.0625,-100.98,90.0,bottom
R11,157.285,-78.175,180.0,bottom
R12,158.555,-77.155,180.0,bottom
R13,163.92,-82.98,225.0,bottom
R14,164.23,-103.2,180.0,bottom
R15,142.33,-82.1,0.0,bottom
R16,134.37,-100.23,225.0,bottom
R17,173.4,-87.34,315.0,bottom
R19,131.84,-99.8,225.0,bottom
R2,171.94,-88.54,270.0,bottom
R20,141.435,-79.995,180.0,bottom
R21,138.48,-105.82,135.0,bottom
R22,137.7,-100.07,315.0,bottom
R23,144.595,-85.875,180.0,bottom
R24,143.045,-90.255,0.0,bottom
R25,153.525,-83.135,180.0,bottom
R26,140.655,-89.105,0.0,bottom
R27,140.97,-91.25,90.0,bottom
R28,136.19,-102.78,135.0,bottom
R29,146.98,-79.85,0.0,bottom
R3,169.24,-97.22,180.0,bottom
R30,157.015,-82.335,90.0,bottom
R31,126.29,-88.79,270.0,bottom
R32,126.26,-90.97,270.0,bottom
R33,130.02,-93.57,270.0,bottom
R4,166.94,-92.52,90.0,bottom
R5,170.76,-93.68,270.0,bottom
R6,132.19,-98.02,45.0,bottom
R7,164.8725,-98.71,0.0,bottom
R8,145.32,-84.59,0.0,bottom
R9,163.99,-96.43,270.0,bottom
SW1,153.54,-123.15,90.0,bottom
SW2,145.56,-123.15,270.0,bottom
TH1,146.98,-78.9,0.0,bottom
U1,143.29,-109.49,135.0,bottom
U10,167.04,-86.17,67.5,bottom
U11,131.63,-83.5275,270.0,bottom
U13,135.756085,-98.062583,225.0,bottom
U2,149.88,-83.0,270.0,bottom
U3,136.63,-81.28,45.0,bottom
U4,146.8,-76.7,189.6,top
U5,135.3525,-90.69,0.0,bottom
U6,152.4,-76.8,170.4,top
U7,149.6,-76.5,180.0,top
U8,154.5,-110.36,225.0,bottom
U9,168.4375,-99.65,0.0,bottom
