# pid_debug_capture v1
# port: /dev/tty.usbserial-210
# alias: X
# duration_s: 8.0
# set_pid: 2000 50 700000
# move_rotations: 2.0
# move_time_s: 2.0
# move_delay_s: 1.0
# capture_started: 2026-07-07 12:41:12
# move_sent_at_s: 1.004975
# n_samples: 1913
# timeouts: 0
t_s,error,p_term,i_term,d_term,output
0.000000,-24,-48000,96100,-700000,-318
0.004149,36,72000,374350,-743750,-145
0.008356,-10,-20000,775600,-1246875,-240
0.012547,25,50000,881500,415625,658
0.016687,101,202000,1209400,831250,1095
0.020797,103,206000,1556300,1443750,1565
0.024995,56,112000,1717050,568750,1171
0.029220,53,106000,2046800,-175000,966
0.033412,15,30000,2288350,-328125,972
0.037638,52,104000,2419600,546875,1499
0.041764,-73,-146000,2725100,-2493750,42
0.046015,-55,-110000,2905250,-1531250,617
0.050135,-12,-24000,3060350,-940625,1023
0.054244,23,46000,3290550,-262500,1501
0.058479,67,134000,3476800,940625,2222
0.062621,23,46000,3618150,43750,1810
0.066780,-6,-12000,3810250,-831250,1449
0.071380,-6,-12000,3941650,-546875,1652
0.075637,-22,-44000,4119450,-1093750,1456
0.079851,32,64000,4275400,306250,2268
0.084006,-19,-38000,4402000,-809375,1736
0.088127,28,56000,4544000,131250,2310
0.092376,82,164000,4701650,1246875,2985
0.096551,-39,-78000,4778150,-1006250,1804
0.100771,-2,-4000,4908100,-546875,2128
0.104967,43,86000,4987800,634375,2787
0.109089,44,88000,5065700,743750,2880
0.113320,-2,-4000,5178100,-415625,2323
0.117415,66,132000,5238650,1378125,3295
0.121608,-16,-32000,5309100,-787500,2192
0.125781,-12,-24000,5401600,-503125,2380
0.129951,-53,-106000,5524700,-1553125,1887
0.134095,13,26000,5646300,43750,2791
0.138240,-31,-62000,5772900,-940625,2329
0.142432,-8,-16000,5785750,-131250,2753
0.146685,28,56000,5844000,503125,3127
0.150809,59,118000,5910050,1181250,3520
0.154909,-6,-12000,5942200,-328125,2735
0.159086,23,46000,5924050,590625,3203
0.163199,-41,-82000,5912750,-1050000,2334
0.167377,-12,-24000,5910400,-284375,2735
0.171540,48,96000,5920250,918750,3386
0.175713,-8,-16000,5896350,-65625,2839
0.179890,-29,-58000,5850050,43750,2850
0.184010,-63,-126000,5825750,-1159375,2217
0.188222,-72,-144000,5785050,-1728125,1911
0.192364,18,36000,5696500,765625,3173
0.196549,48,96000,5628650,1378125,3468
0.200737,19,38000,5556850,831250,3138
0.204990,16,32000,5509150,262500,2834
0.209253,-28,-56000,5468650,-481250,2408
0.213444,-22,-44000,5420250,-218750,2518
0.217676,-20,-40000,5386600,-240625,2493
0.221830,33,66000,5322200,765625,3005
0.226024,36,72000,5281400,1028125,3116
0.230161,66,132000,5256650,1531250,3379
0.234300,-7,-14000,5258150,-109375,2507
0.238462,16,32000,5203800,525000,2813
0.242622,-11,-22000,5194150,-218750,2419
0.246782,-59,-118000,5149300,-1203125,1869
0.250938,9,18000,5121500,328125,2670
0.255115,-2,-4000,5062550,196875,2566
0.259262,-19,-38000,5064800,-503125,2209
0.263420,-39,-78000,4972800,-546875,2123
0.267598,-22,-44000,4979800,-525000,2154
0.271772,-56,-112000,4926900,-984375,1870
0.276001,14,28000,4902700,371875,2589
0.280191,2,4000,4862150,65625,2408
0.284356,38,76000,4829850,1071875,2919
0.288463,38,76000,4771800,831250,2773
0.292703,-67,-134000,4686650,-1137500,1668
0.296841,54,108000,4656750,1225000,2925
0.300974,-36,-72000,4595050,-568750,1931
0.305179,-63,-126000,4606450,-1618750,1397
0.309377,-2,-4000,4608850,196875,2345
0.313712,2,4000,4587650,284375,2381
0.317984,-19,-38000,4561150,-415625,2006
0.322170,-16,-32000,4537850,-153125,2125
0.326297,9,18000,4527450,284375,2358
0.330481,-39,-78000,4533850,-831250,1770
0.334742,-40,-80000,4507400,-896875,1724
0.339022,25,50000,4452950,1334375,2850
0.343316,-49,-98000,4448800,-962500,1654
0.347507,57,114000,4456000,1290625,2862
0.351681,2,4000,4464250,350000,2353
0.355853,54,108000,4415700,1312500,2850
0.360044,-3,-6000,4402000,-109375,2093
0.364174,-95,-190000,4404100,-2209375,979
0.368435,11,22000,4427700,415625,2376
0.372703,-5,-10000,4444200,-196875,2069
0.376884,-26,-52000,4425250,-459375,1911
0.380999,2,4000,4415900,0,2158
0.385129,39,78000,4356050,962500,2635
0.389276,-8,-16000,4352200,-196875,2021
0.393417,-33,-66000,4383850,-875000,1681
0.397561,-2,-4000,4317300,131250,2170
0.401767,18,36000,4289600,481250,2347
0.406017,91,182000,4298000,1925000,3127
0.410272,-9,-18000,4294700,-109375,2035
0.414558,1,2000,4226350,153125,2139
0.418726,59,118000,4181350,1487500,2826
0.422970,-78,-156000,4173450,-1684375,1139
0.427151,-10,-20000,4165450,-196875,1928
0.431364,-41,-82000,4122550,-809375,1578
0.435627,59,118000,4128000,1378125,2746
0.439891,-36,-72000,4120600,-765625,1603
0.444207,-84,-168000,4123400,-1837500,1034
0.448528,14,28000,4162150,371875,2228
0.452824,-39,-78000,4149350,-415625,1785
0.457088,-16,-32000,4123300,-328125,1837
0.461276,-19,-38000,4099100,-350000,1812
0.465464,-26,-52000,4112800,-568750,1705
0.469749,-15,-30000,4090750,-175000,1897
0.473995,-59,-118000,4061050,-1137500,1370
0.478107,-53,-106000,4053150,-1312500,1286
0.482241,1,2000,4079900,-65625,1961
0.486459,57,114000,4122750,875000,2496
