# pid_debug_capture v1
# port: /dev/tty.usbserial-210
# alias: X
# duration_s: 8.0
# set_pid: 2000 50 350000
# move_rotations: 2.0
# move_time_s: 2.0
# move_delay_s: 1.0
# capture_started: 2026-07-07 12:36:04
# move_sent_at_s: 1.007223
# n_samples: 1919
# timeouts: 0
t_s,error,p_term,i_term,d_term,output
0.000000,-305,-610000,-1004600,-295299,-933
0.004546,-296,-592000,-3888100,164055,-2107
0.009203,172,344000,-4213500,1323377,-1243
0.013383,107,214000,-3114950,-382795,-1603
0.017472,19,38000,-2630550,-339047,-1431
0.021593,115,230000,-2166400,207803,-844
0.025884,98,196000,-1411250,-10937,-599
0.030099,60,120000,-979200,65622,-387
0.034266,71,142000,-528700,-229677,-301
0.038385,81,162000,145550,-54685,123
0.042600,-28,-56000,556450,-951519,-220
0.046728,68,136000,1100850,-437480,390
0.050836,74,148000,1716100,-174992,825
0.055020,88,176000,2152900,120307,1196
0.059170,84,168000,2708150,-131244,1340
0.063257,27,54000,3207550,-459354,1368
0.067347,13,26000,3593550,-557787,1495
0.071381,110,220000,4134550,295299,2270
0.075479,41,82000,4571550,-207803,2171
0.079548,42,84000,4892600,-98433,2382
0.083586,52,104000,5360550,-284362,2529
0.087743,69,138000,5706850,328110,3014
0.092152,88,176000,5965300,546850,3266
0.096425,22,44000,6292000,-174992,3008
0.100793,-12,-24000,6428100,-153118,3052
0.105115,-23,-46000,6364500,-32811,3069
0.109585,-13,-26000,6186300,98433,3056
0.114558,-33,-66000,6036400,-174992,2830
0.118843,33,66000,5901650,634346,3224
0.123200,-22,-44000,5792450,-109370,2753
0.127424,-16,-32000,5724400,-54685,2753
0.131608,-12,-24000,5667300,21874,2766
0.135766,-3,-6000,5592000,109370,2781
0.139817,11,22000,5577850,65622,2766
0.144066,3,6000,5504500,262488,2819
0.148240,34,68000,5471600,426543,2913
0.152392,-44,-88000,5439500,-415606,2410
0.156454,-59,-118000,5437700,-656220,2277
0.160615,61,122000,5371350,765590,3056
0.164767,16,32000,5393200,164055,2729
0.168925,-2,-4000,5351350,43748,2632
0.173010,83,166000,5325800,1071826,3205
0.177200,6,12000,5354750,32811,2637
0.181383,-42,-84000,5291400,-317173,2388
0.185495,9,18000,5276650,54685,2612
0.189617,8,16000,5314200,21874,2613
0.193722,66,132000,5317650,612472,2960
0.197899,65,130000,5310000,732779,3014
0.202202,-5,-10000,5278200,-76559,2535
0.207208,4,8000,5293800,65622,2621
0.211411,-28,-56000,5238000,-185929,2439
0.215668,17,34000,5245700,262488,2706
0.219936,40,80000,5208050,437480,2796
0.224152,-86,-172000,5206200,-951519,1993
0.228464,-28,-56000,5180650,-284362,2363
0.232876,-24,-48000,5177000,-317173,2350
