# pid_debug_capture v1
# port: /dev/tty.usbserial-210
# alias: X
# duration_s: 8.0
# set_pid: 2000 50 700000
# move_rotations: 2.0
# move_time_s: 2.0
# move_delay_s: 1.0
# capture_started: 2026-07-07 21:22:25
# move_sent_at_s: 1.004336
# n_samples: 1914
# timeouts: 0
t_s,error,p_term,i_term,d_term,output
0.000000,-745,-1490000,-1033700,-6803125,-4554
0.004303,-479,-958000,-4724350,1028125,-2273
0.008436,-276,-552000,-7293900,1093750,-3297
0.012659,-28,-56000,-8377000,1662500,-3306
0.016868,30,60000,-8459450,87500,-4059
0.021081,17,34000,-8196450,-678125,-4317
0.025338,86,172000,-7905800,984375,-3296
0.029491,42,84000,-7613400,-87500,-3719
0.033756,35,70000,-7392800,21875,-3565
0.037877,29,58000,-7232550,131250,-3439
0.042036,27,54000,-7125200,218750,-3346
0.046239,1,2000,-7038600,-196875,-3532
0.050408,-27,-54000,-7015800,-853125,-3869
0.054618,24,48000,-7067250,634375,-3118
0.058720,-55,-110000,-7121750,-940625,-3990
0.062957,-21,-42000,-7168950,-371875,-3703
0.067129,-98,-196000,-7210200,-1925000,-4556
0.071320,-30,-60000,-7281750,-328125,-3745
0.075454,59,118000,-7282750,1334375,-2847
0.079636,-31,-62000,-7294150,-459375,-3816
0.083821,67,134000,-7284750,1487500,-2765
0.088039,15,30000,-7242850,87500,-3479
0.092170,48,96000,-7247750,1181250,-2915
0.096392,-49,-98000,-7243450,-1181250,-4161
0.100607,6,12000,-7267500,240625,-3425
0.104707,28,56000,-7232750,568750,-3227
0.108846,-11,-22000,-7242400,-218750,-3654
0.113110,-34,-68000,-7239750,-525000,-3825
0.117506,56,112000,-7209850,1050000,-2953
0.121861,-21,-42000,-7213000,-437500,-3756
0.125976,-34,-68000,-7219500,-896875,-3996
0.130209,-68,-136000,-7218250,-1531250,-4339
0.134456,12,24000,-7222100,328125,-3354
0.138627,5,10000,-7222300,65625,-3490
0.142759,-52,-104000,-7206750,-1203125,-4157
0.146958,5,10000,-7237250,109375,-3476
0.151082,9,18000,-7237950,87500,-3483
0.155347,11,22000,-7256750,481250,-3298
0.159613,-23,-46000,-7250350,-568750,-3840
0.163815,-9,-18000,-7239250,-218750,-3650
0.167949,29,58000,-7230400,525000,-3246
0.172049,9,18000,-7224800,284375,-3380
0.176242,6,12000,-7225350,87500,-3479
0.180491,17,34000,-7270900,415625,-3331
0.184642,-10,-20000,-7264900,-437500,-3771
0.188809,16,32000,-7242850,525000,-3265
0.193030,4,8000,-7228800,-87500,-3569
0.197347,-17,-34000,-7229500,-459375,-3771
0.201485,14,28000,-7195400,153125,-3425
0.205726,-15,-30000,-7201800,-240625,-3649
0.210055,-45,-90000,-7189600,-1115625,-4099
0.214233,-33,-66000,-7185350,-896875,-3979
0.218375,-35,-70000,-7167100,-765625,-3908
0.222587,17,34000,-7153950,328125,-3316
0.226690,37,74000,-7134200,809375,-3052
0.230887,46,92000,-7119000,1050000,-2918
0.235071,-37,-74000,-7172200,-809375,-3933
0.239226,4,8000,-7180150,153125,-3427
0.243460,17,34000,-7160500,481250,-3245
0.247692,10,20000,-7165250,328125,-3329
0.251783,-19,-38000,-7195700,-393750,-3724
0.255974,73,146000,-7199300,1640625,-2643
0.260176,29,58000,-7188550,765625,-3108
0.264376,-2,-4000,-7181250,-87500,-3551
0.268608,-18,-36000,-7192950,-437500,-3743
0.272878,21,42000,-7180700,196875,-3390
0.277005,52,104000,-7168550,984375,-2969
0.281250,14,28000,-7189000,371875,-3315
0.285407,91,182000,-7172750,2034375,-2420
0.289728,44,88000,-7193150,940625,-3010
0.293904,14,28000,-7188100,415625,-3293
0.298181,27,54000,-7198650,743750,-3125
0.302338,32,64000,-7222500,853125,-3079
0.306579,5,10000,-7232050,131250,-3462
0.310696,-24,-48000,-7231650,-612500,-3854
0.314877,10,20000,-7249350,262500,-3402
0.319113,-15,-30000,-7204450,-393750,-3725
0.323258,30,60000,-7160550,459375,-3243
0.327486,0,0,-7200000,87500,-3473
0.331675,104,208000,-7174550,2275000,-2291
0.335826,-17,-34000,-7180050,-371875,-3704
0.340037,22,44000,-7172200,415625,-3278
0.344189,-39,-78000,-7190050,-743750,-3912
0.348481,20,40000,-7183650,459375,-3264
0.352623,15,30000,-7203400,284375,-3364
0.356801,-46,-92000,-7190150,-1159375,-4122
0.360905,20,40000,-7185200,459375,-3265
0.365159,16,32000,-7202500,306250,-3352
0.369339,31,62000,-7190350,590625,-3192
0.373458,-63,-126000,-7190350,-1312500,-4213
0.377767,-6,-12000,-7207900,-153125,-3600
0.381896,34,68000,-7179850,700000,-3131
0.386275,33,66000,-7181550,546875,-3207
0.390469,6,12000,-7182650,153125,-3427
0.394678,-39,-78000,-7169150,-1137500,-4094
0.398905,-20,-40000,-7156000,-459375,-3738
0.403126,13,26000,-7176350,371875,-3310
0.407354,24,48000,-7170300,546875,-3211
0.411637,28,56000,-7212250,656250,-3174
0.415842,-70,-140000,-7183650,-1706250,-4409
0.419989,-18,-36000,-7176950,-503125,-3768
0.424226,43,86000,-7169050,1115625,-2914
0.428412,45,90000,-7125550,875000,-3008
0.432572,-9,-18000,-7154700,-65625,-3534
0.436694,-30,-60000,-7157800,-481250,-3759
0.440714,15,30000,-7150750,262500,-3349
0.444837,15,30000,-7145950,153125,-3400
0.449025,32,64000,-7157300,721875,-3111
0.453166,3,6000,-7140400,-87500,-3526
0.457285,-40,-80000,-7126950,-896875,-3957
0.461510,-73,-146000,-7141600,-1509375,-4295
0.465777,8,16000,-7158250,131250,-3423
0.469912,-32,-64000,-7131400,-809375,-3909
0.474009,11,22000,-7137850,240625,-3357
0.478126,-1,-2000,-7115500,-131250,-3539
0.482381,18,36000,-7153150,678125,-3144
0.486571,9,18000,-7145450,-43750,-3502
0.490745,-31,-62000,-7136400,-634375,-3825
0.494839,-37,-74000,-7125300,-1028125,-4017
0.498965,19,38000,-7117600,350000,-3286
0.503129,-7,-14000,-7116400,-306250,-3631
0.507324,-2,-4000,-7079100,590625,-3170
0.511452,-49,-98000,-7153050,-875000,-3968
0.515605,24,48000,-7175000,568750,-3202
0.519842,18,36000,-7151000,153125,-3399
0.523908,-58,-116000,-7132300,-1334375,-4191
0.528083,-21,-42000,-7141400,-503125,-3753
0.532170,20,40000,-7156650,831250,-3069
0.536312,28,56000,-7203400,875000,-3063
0.540466,51,102000,-7204600,1115625,-2923
0.544620,15,30000,-7209750,371875,-3324
0.548820,51,102000,-7224650,1225000,-2880
0.552918,18,36000,-7207850,-175000,-3587
0.557033,21,42000,-7181700,481250,-3251
0.561038,-11,-22000,-7194500,-218750,-3630
0.565233,28,56000,-7154250,634375,-3156
0.569327,38,76000,-7144250,853125,-3035
0.573389,-34,-68000,-7148650,-765625,-3898
0.577560,33,66000,-7125050,590625,-3158
0.581823,-53,-106000,-7193150,-459375,-3788
0.585959,-3,-6000,-7211750,-196875,-3620
0.590031,24,48000,-7177800,371875,-3300
0.594185,-30,-60000,-7130400,-809375,-3906
0.598488,30,60000,-7102950,525000,-3183
0.602618,16,32000,-7111200,459375,-3232
0.606821,43,86000,-7099850,984375,-2944
0.610976,-53,-106000,-7119450,-1028125,-4030
0.615180,-16,-32000,-7109400,-678125,-3818
0.619293,31,62000,-7120050,940625,-2987
0.623357,19,38000,-7107700,503125,-3206
0.627588,-15,-30000,-7150900,-153125,-3581
0.631792,-35,-70000,-7177400,-700000,-3881
0.635871,-15,-30000,-7170900,-306250,-3666
0.640013,35,70000,-7165800,743750,-3102
0.644152,-66,-132000,-7192950,-1378125,-4250
0.648325,-35,-70000,-7241650,-656250,-3891
0.652399,-36,-72000,-7258100,-743750,-3942
0.656616,-37,-74000,-7237500,-1050000,-4083
0.660835,-20,-40000,-7243000,-503125,-3802
0.664984,-32,-64000,-7222750,-721875,-3910
0.669133,4,8000,-7213950,0,-3519
0.673276,-17,-34000,-7221650,-415625,-3746
0.677439,22,44000,-7213400,459375,-3276
0.681667,-72,-144000,-7222750,-1531250,-4345
0.685862,34,68000,-7240400,612500,-3203
0.690008,-23,-46000,-7232000,-503125,-3799
0.694100,-59,-118000,-7221000,-1225000,-4182
0.698294,-16,-32000,-7218550,-328125,-3701
0.702399,22,44000,-7201150,415625,-3292
0.706569,11,22000,-7153350,109375,-3429
0.710641,5,10000,-7142050,131250,-3418
0.714808,41,82000,-7178600,962500,-2995
0.718872,10,20000,-7155250,109375,-3431
0.723096,14,28000,-7117800,262500,-3334
0.727139,56,112000,-7087450,1028125,-2904
0.731280,39,78000,-7067750,765625,-3039
0.735419,24,48000,-7076600,568750,-3154
0.739743,-55,-110000,-7056150,-1181250,-4076
0.743891,28,56000,-7074650,853125,-3011
0.748043,-17,-34000,-7086450,-415625,-3680
0.752197,-53,-106000,-7090450,-1181250,-4091
0.756299,27,54000,-7096200,612500,-3140
0.760439,68,136000,-7099500,1575000,-2631
0.764630,21,42000,-7092050,459375,-3218
0.768671,-13,-26000,-7091400,-87500,-3518
0.772746,-30,-60000,-7096250,-700000,-3836
0.776799,1,2000,-7076600,0,-3454
0.780960,-23,-46000,-7091650,-328125,-3645
0.785044,21,42000,-7076550,481250,-3200
0.789119,8,16000,-7113550,328125,-3305
0.793220,32,64000,-7091050,568750,-3153
0.797398,-10,-20000,-7130600,-240625,-3609
0.801561,-14,-28000,-7134900,-393750,-3690
0.805695,0,0,-7151900,21875,-3481
0.809760,37,74000,-7148850,853125,-3038
0.813947,-32,-64000,-7168300,-568750,-3809
0.817947,21,42000,-7150800,328125,-3311
0.822050,-47,-94000,-7154800,-896875,-3977
0.826151,34,68000,-7132150,459375,-3225
0.830335,-7,-14000,-7133900,43750,-3469
0.834537,-47,-94000,-7134350,-1006250,-4021
0.838647,81,162000,-7140250,1706250,-2574
0.842724,-35,-70000,-7127700,-765625,-3888
0.846794,-8,-16000,-7114850,-196875,-3578
0.850956,-68,-136000,-7114550,-1443750,-4245
0.855014,21,42000,-7075400,328125,-3274
0.859072,76,152000,-7061400,1421875,-2679
0.863285,-5,-10000,-7074400,0,-3459
0.867368,9,18000,-7130100,481250,-3238
0.871526,20,40000,-7173000,765625,-3109
0.875643,22,44000,-7187400,437500,-3274
0.879757,10,20000,-7211900,175000,-3426
0.883863,5,10000,-7179200,-175000,-3586
0.888049,18,36000,-7196350,262500,-3368
0.892126,38,76000,-7174350,787500,-3081
0.896260,25,50000,-7172700,481250,-3243
0.900318,40,80000,-7186100,853125,-3053
0.904333,-21,-42000,-7197150,-371875,-3716
0.908449,-3,-6000,-7194550,-240625,-3633
0.912698,-13,-26000,-7214850,-153125,-3610
0.916841,-35,-70000,-7201450,-962500,-4020
0.920878,60,120000,-7185450,1268750,-2830
0.924981,1,2000,-7170550,175000,-3415
0.929197,-23,-46000,-7162150,-656250,-3840
0.933416,53,106000,-7180300,1356250,-2792
0.937618,7,14000,-7192800,196875,-3409
0.941793,6,12000,-7152400,21875,-3476
0.946001,9,18000,-7168450,284375,-3353
0.950328,49,98000,-7142250,918750,-2991
0.954593,18,36000,-7136800,371875,-3286
0.958730,-39,-78000,-7175400,-787500,-3926
0.962931,-14,-28000,-7137050,-634375,-3808
0.967025,20,40000,-7133050,371875,-3282
0.971192,-66,-132000,-7136350,-1268750,-4169
0.975351,20,40000,-7122450,284375,-3319
0.979565,46,92000,-7140300,1006250,-2950
0.983693,-20,-40000,-7123400,-525000,-3754
0.987932,34,68000,-7130900,656250,-3128
0.992076,26,52000,-7125550,831250,-3048
0.996284,-42,-84000,-7140100,-809375,-3923
1.000522,34,68000,-7134450,809375,-3055
1.008522,465,930000,-5679750,2428125,-1134
1.012819,1493,2986000,1395050,3434375,3816
1.017028,1489,2978000,12472800,-1903125,6615
1.021239,490,980000,19148300,-5250000,7265
1.025321,-608,-1216000,18759600,-5665625,5800
1.029659,-836,-1672000,13314350,-65625,5653
1.033967,-155,-310000,9612300,4178125,6582
1.038125,492,984000,11505200,-284375,5959
1.042360,-116,-232000,13840750,-5862500,3782
1.046703,217,434000,15144350,1421875,8301
1.050813,-215,-430000,14196500,-2603125,5451
1.054941,-105,-210000,12598850,1706250,6882
1.059105,194,388000,13450750,1378125,7430
1.063402,297,594000,13285600,6190625,9800
1.067661,-314,-628000,13626500,-5753125,3538
1.071997,-171,-342000,12425400,1159375,6466
1.076154,438,876000,12627300,5271875,9168
1.080328,-4,-8000,13948150,-3040625,5322
1.084450,126,252000,13966700,1028125,7445
1.088617,-43,-86000,13594750,2625000,7878
1.092833,56,112000,13517250,1050000,7168
1.097056,100,200000,14620600,-2603125,5966
1.101291,-407,-814000,14013200,-2056250,5441
1.105566,-20,-40000,13503500,546875,6841
1.109790,-226,-452000,12059350,-2865625,4268
1.113970,124,248000,11598950,2078125,6799
1.118207,297,594000,13760450,240625,7127
1.122568,289,578000,14293200,2690625,8575
1.126754,-259,-518000,14754700,-3871875,5061
1.131002,-50,-100000,14099800,2078125,7851
1.135199,151,302000,14538000,-525000,6990
1.139427,-434,-868000,14223400,-5490625,3840
1.143695,21,42000,12999300,2362500,7521
1.147886,108,216000,12123850,5359375,8642
1.152069,70,140000,11855550,1203125,6445
1.156224,322,644000,13697000,-196875,6906
1.160391,-25,-50000,14070000,2362500,7999
1.164689,19,38000,14911000,-1771875,6434
1.168849,-293,-586000,13821250,-3215625,4892
1.173028,58,116000,12975600,3325000,8016
1.177325,35,70000,13723250,-962500,6265
1.181583,85,170000,13465650,-371875,6476
1.185712,-351,-702000,13526400,-4396875,4115
1.189943,-21,-42000,12972200,2253125,7414
1.194101,165,330000,13344550,-218750,6570
1.198366,-224,-448000,13558250,-3478125,4703
1.202628,212,424000,13591800,2187500,7912
1.206782,242,484000,13825050,4287500,9080
1.210905,38,76000,14173300,-875000,6530
1.215064,85,170000,15325050,-1640625,6765
1.219204,-148,-296000,14509100,3215625,8510
1.223376,-130,-260000,14023100,-1028125,6218
1.227556,-335,-670000,12218450,-2953125,4197
1.231733,147,294000,11681950,3193750,7407
1.235951,300,600000,13762550,218750,7120
1.240155,198,396000,14341450,459375,7420
1.244386,-252,-504000,14633200,-3368750,5254
1.248618,5,10000,13964500,3368750,8468
1.252765,209,418000,14397050,525000,7490
1.256976,-353,-706000,14465850,-5250000,4155
1.261156,-95,-190000,12966300,1706250,7072
