# pid_debug_capture v1
# port: /dev/tty.usbserial-210
# alias: X
# duration_s: 8.0
# set_pid: 2000 50 700000
# move_rotations: 2.0
# move_time_s: 2.0
# move_delay_s: 1.0
# capture_started: 2026-07-07 21:41:20
# move_sent_at_s: 1.006211
# n_samples: 1845
# timeouts: 0
t_s,error,p_term,i_term,d_term,output
0.000000,-539,-1078000,-1816400,-700000,-1755
0.004507,-462,-924000,-5330650,-350000,-3225
0.009140,-188,-376000,-7589850,1137500,-3334
0.013503,-47,-94000,-8390600,350000,-3972
0.017709,90,180000,-8312200,1246875,-3362
0.021797,95,190000,-7970050,700000,-3457
0.025958,-40,-80000,-7644650,-1815625,-4658
0.030131,31,62000,-7370650,-371875,-3750
0.034198,46,92000,-7195800,306250,-3319
0.038295,-35,-70000,-7048600,-1225000,-4074
0.042613,-90,-180000,-6967750,-2143750,-4537
0.046769,2,4000,-6917500,65625,-3344
0.050950,-28,-56000,-6966050,-415625,-3632
0.055171,-4,-8000,-6981900,-328125,-3573
0.059400,-54,-108000,-6970350,-1268750,-4076
0.063689,33,66000,-6974700,962500,-2903
0.067931,23,46000,-6954850,393750,-3181
0.072082,-100,-200000,-6951100,-1925000,-4432
0.076245,-15,-30000,-6996700,-328125,-3591
0.080603,35,70000,-7022700,853125,-2978
0.084728,25,50000,-7029000,284375,-3269
0.088915,-29,-58000,-7030950,-634375,-3771
0.093019,-7,-14000,-7012600,-240625,-3548
0.097594,-42,-84000,-6988950,-1137500,-4009
0.101833,-44,-88000,-7001650,-962500,-3932
0.106096,-42,-84000,-6983250,-984375,-3931
0.110301,13,26000,-6976600,262500,-3266
0.114569,-22,-44000,-6943150,-328125,-3572
0.118697,4,8000,-6991250,262500,-3282
0.122831,-67,-134000,-6964550,-1509375,-4203
0.126997,8,16000,-6991250,218750,-3299
0.131201,8,16000,-7032400,284375,-3287
0.135328,-17,-34000,-7026300,-306250,-3597
0.139491,40,80000,-7028350,853125,-2976
0.143599,11,22000,-6988650,109375,-3348
0.147854,-28,-56000,-7031700,-568750,-3739
0.152010,-7,-14000,-7055050,131250,-3388
0.156040,41,82000,-7047750,853125,-2985
0.160050,-8,-16000,-7049200,-306250,-3599
0.164159,-20,-40000,-7005950,-525000,-3697
0.168312,31,62000,-7000900,481250,-3153
0.172490,31,62000,-6971200,393750,-3181
0.177046,-12,-24000,-6964150,-240625,-3530
0.181384,15,30000,-6963900,415625,-3183
0.185522,23,46000,-6945950,481250,-3134
0.189682,27,54000,-7006000,721875,-3042
0.193815,-26,-52000,-7042200,-350000,-3635
0.198042,-83,-166000,-7021500,-1793750,-4385
0.202305,19,38000,-6993800,-43750,-3418
0.206630,-52,-104000,-7009150,-1203125,-4061
0.210868,11,22000,-6993450,43750,-3383
0.215151,-9,-18000,-6966800,-306250,-3560
0.219288,-18,-36000,-6960400,-546875,-3683
0.223543,60,120000,-6971600,1290625,-2715
0.227814,-28,-56000,-6958700,-612500,-3724
0.232079,-19,-38000,-6941450,-43750,-3429
0.236337,-39,-78000,-6952600,-962500,-3903
0.241199,-11,-22000,-6945600,-437500,-3616
0.246560,45,90000,-6937450,1006250,-2852
0.252703,-12,-24000,-6968600,-218750,-3521
0.257585,-22,-44000,-6989600,-415625,-3637
0.261658,-45,-90000,-6997600,-1006250,-3952
0.265814,-81,-162000,-6983500,-1750000,-4344
0.269907,-6,-12000,-6933950,-415625,-3595
0.274735,-32,-64000,-6937650,-634375,-3729
0.279006,27,54000,-6927250,678125,-3025
0.283129,-19,-38000,-6919250,-590625,-3685
0.287234,136,272000,-6912650,2493750,-2025
0.291395,1,2000,-6904600,131250,-3306
0.295547,21,42000,-6924950,525000,-3104
0.299723,91,182000,-6941000,2121875,-2264
0.303764,17,34000,-6932150,218750,-3261
0.307894,-39,-78000,-6907000,-940625,-3870
0.312092,-33,-66000,-6911700,-700000,-3749
0.316517,-2,-4000,-6914450,0,-3378
0.320723,54,108000,-6920600,1093750,-2792
0.324950,40,80000,-6917800,984375,-2858
0.329315,8,16000,-6962950,328125,-3232
0.333675,23,46000,-6967300,503125,-3134
0.338248,-44,-88000,-6983800,-918750,-3902
0.342810,8,16000,-6963500,-21875,-3403
0.347210,81,162000,-6919350,1575000,-2530
0.351478,67,134000,-6932400,1356250,-2657
0.355548,7,14000,-6960550,196875,-3296
0.359613,21,42000,-6958300,393750,-3185
0.363747,-28,-56000,-6940900,-481250,-3651
0.367892,-16,-32000,-6968600,-240625,-3536
0.372197,-21,-42000,-6932250,-481250,-3640
0.376807,-62,-124000,-6947400,-1225000,-4051
0.381018,43,86000,-6925500,896875,-2902
0.385095,-16,-32000,-6923600,-415625,-3599
