# pid_debug_capture v1
# port: /dev/tty.usbserial-210
# alias: X
# duration_s: 8.0
# set_pid: 2000 25 350000
# move_rotations: 2.0
# move_time_s: 2.0
# move_delay_s: 1.0
# capture_started: 2026-07-07 21:14:56
# move_sent_at_s: 1.003993
# n_samples: 1903
# timeouts: 0
t_s,error,p_term,i_term,d_term,output
0.000000,-789,-1578000,1433550,-10138599,-5021
0.004150,-999,-1998000,-1620250,-2581132,-3027
0.008324,-728,-1456000,-4494875,218740,-2799
0.012533,-515,-1030000,-6557825,262488,-3577
0.016691,-256,-512000,-7918700,656220,-3796
0.020910,-167,-334000,-8590425,-54685,-4384
0.025122,8,16000,-8905000,667157,-4015
0.029341,22,44000,-8894025,-142181,-4391
0.033528,50,100000,-8723950,0,-4211
0.037696,71,142000,-8571850,339047,-3951
0.041853,58,116000,-8476900,306236,-3933
0.046060,3,6000,-8443300,0,-4120
0.050179,-23,-46000,-8407075,-393732,-4320
0.054324,-53,-106000,-8393850,-601535,-4444
0.058512,1,2000,-8365375,-109370,-4137
0.062692,-16,-32000,-8340225,-273425,-4222
0.066834,-57,-114000,-8339625,-634346,-4437
0.070996,-8,-16000,-8340575,-174992,-4166
0.075131,-1,-2000,-8363125,-21874,-4095
0.079293,39,78000,-8362425,339047,-3880
0.083519,-12,-24000,-8376275,-109370,-4155
0.087682,1,2000,-8386175,43748,-4072
0.091838,-38,-76000,-8382575,-437480,-4344
0.095995,-33,-66000,-8379125,-404669,-4321
0.100162,-50,-100000,-8383675,-393732,-4335
0.104340,32,64000,-8384950,339047,-3897
0.108508,-20,-40000,-8385150,-196866,-4210
0.112655,30,60000,-8381825,481228,-3828
0.116826,18,36000,-8376250,284362,-3934
0.120998,24,48000,-8388925,328110,-3913
0.125206,5,10000,-8366800,-10937,-4086
0.129407,-35,-70000,-8368200,-328110,-4280
0.133535,37,74000,-8379750,415606,-3853
0.137744,1,2000,-8375450,0,-4089
0.141917,13,26000,-8378450,196866,-3982
0.146094,-4,-8000,-8381800,-98433,-4145
0.150345,-20,-40000,-8398350,-131244,-4184
0.154532,23,46000,-8384050,142181,-4002
0.158680,-32,-64000,-8396275,-262488,-4259
0.162874,26,52000,-8401500,306236,-3927
0.166997,-31,-62000,-8390000,-404669,-4325
0.171124,-46,-92000,-8387675,-481228,-4375
0.175259,-3,-6000,-8382750,-98433,-4144
0.179464,-45,-90000,-8377975,-470291,-4364
0.183590,19,38000,-8388550,251551,-3955
0.187766,-40,-80000,-8399975,-317173,-4295
0.191904,37,74000,-8400850,360921,-3890
0.196092,70,140000,-8411200,831212,-3633
0.200287,-17,-34000,-8429125,-120307,-4191
0.204435,87,174000,-8423250,896834,-3590
0.208625,18,36000,-8433500,262488,-3972
0.212792,8,16000,-8420325,65622,-4072
0.216964,21,42000,-8418200,295299,-3946
0.221109,-4,-8000,-8447325,174992,-4043
0.225315,-41,-82000,-8438700,-503102,-4406
0.229516,-7,-14000,-8418375,-98433,-4165
0.233654,31,62000,-8426775,284362,-3946
0.237805,34,68000,-8443000,459354,-3865
0.241931,-5,-10000,-8429750,-76559,-4158
0.246143,-24,-48000,-8414875,-295299,-4276
0.250234,-4,-8000,-8395650,-142181,-4173
0.254414,45,90000,-8390975,503102,-3808
0.258576,-4,-8000,-8367950,-76559,-4127
0.262730,89,178000,-8354575,864023,-3571
0.266860,-22,-44000,-8331650,-382795,-4277
0.271041,-12,-24000,-8356700,-76559,-4130
0.275185,-33,-66000,-8336425,-448417,-4322
0.279365,-66,-132000,-8330575,-721842,-4485
0.283591,8,16000,-8335375,142181,-3993
0.287753,60,120000,-8353900,776527,-3641
0.291860,8,16000,-8361975,142181,-4006
0.296009,-72,-144000,-8386750,-743716,-4529
0.300141,80,160000,-8391750,896834,-3582
0.304290,3,6000,-8385575,10937,-4086
0.308508,-32,-64000,-8377050,-404669,-4319
0.312650,-32,-64000,-8380525,-393732,-4316
0.316825,36,72000,-8378725,360921,-3880
0.321040,22,44000,-8382925,284362,-3933
0.325194,-44,-88000,-8381325,-481228,-4370
0.329365,-8,-16000,-8383400,-54685,-4128
0.333541,-51,-102000,-8380400,-634346,-4452
0.337743,3,6000,-8377900,0,-4088
0.341873,-66,-132000,-8384650,-699968,-4500
0.346083,16,32000,-8381275,174992,-3991
0.350267,7,14000,-8392000,240614,-3973
0.354535,-50,-100000,-8416975,-535913,-4420
0.358651,-7,-14000,-8410600,-153118,-4188
0.362891,37,74000,-8393025,317173,-3907
0.367019,17,34000,-8402175,142181,-4017
0.371162,19,38000,-8387950,32811,-4061
0.375300,8,16000,-8390450,164055,-4009
0.379533,-5,-10000,-8388425,10937,-4095
0.383678,3,6000,-8371800,-87496,-4128
0.387813,21,42000,-8368125,229677,-3953
0.391965,-66,-132000,-8368250,-645283,-4466
0.396141,9,18000,-8372775,218740,-3973
0.400244,4,8000,-8366675,-10937,-4087
0.404404,12,24000,-8371500,153118,-4001
0.408523,16,32000,-8379425,229677,-3964
0.412752,-37,-74000,-8370650,-426543,-4332
0.416979,-27,-54000,-8377075,-393732,-4309
0.421344,-4,-8000,-8362425,-54685,-4114
0.425514,3,6000,-8365425,65622,-4050
0.429689,83,166000,-8364975,896834,-3565
0.433858,52,104000,-8365975,579661,-3751
0.438034,47,94000,-8367950,470291,-3810
0.442178,4,8000,-8368950,-10937,-4088
0.446385,12,24000,-8392700,164055,-4006
0.450518,-19,-38000,-8390250,-196866,-4211
0.454627,-40,-80000,-8384950,-382795,-4320
0.458754,-15,-30000,-8400700,-65622,-4149
0.462933,-44,-88000,-8422050,-415606,-4358
0.467192,37,74000,-8412350,185929,-3981
0.471417,-20,-40000,-8401800,-251551,-4245
0.475575,2,4000,-8415050,153118,-4032
0.479798,7,14000,-8421200,54685,-4078
0.483916,-26,-52000,-8424850,-262488,-4267
0.488040,-13,-26000,-8432425,-87496,-4173
0.492193,-43,-86000,-8441125,-371858,-4345
0.496448,74,148000,-8447725,874960,-3625
0.500607,-7,-14000,-8416075,-174992,-4202
0.504764,-12,-24000,-8416300,-131244,-4185
0.508940,51,102000,-8409650,503102,-3811
0.513139,-20,-40000,-8412650,-196866,-4223
0.517319,6,12000,-8383350,-185929,-4178
0.521565,34,68000,-8390450,339047,-3898
0.525716,6,12000,-8372250,-21874,-4093
0.529897,38,76000,-8376700,492165,-3813
0.534088,3,6000,-8371275,-21874,-4095
0.538250,5,10000,-8373725,0,-4084
0.542422,3,6000,-8351050,10937,-4069
0.546613,5,10000,-8346225,-32811,-4086
0.550751,-13,-26000,-8353350,-174992,-4177
0.554925,-28,-56000,-8357400,-218740,-4215
0.559098,-35,-70000,-8353525,-306236,-4263
0.563334,6,12000,-8373400,76559,-4045
0.567463,-32,-64000,-8382525,-382795,-4311
0.571627,-35,-70000,-8372200,-393732,-4314
0.575740,-6,-12000,-8359250,-131244,-4152
0.579960,58,116000,-8363650,656220,-3707
0.584086,-8,-16000,-8390275,-32811,-4121
0.588203,30,60000,-8374725,360921,-3884
0.592339,20,40000,-8360300,98433,-4015
0.596511,13,26000,-8364125,174992,-3986
0.600649,-14,-28000,-8355125,-196866,-4189
0.604785,-66,-132000,-8359875,-623409,-4451
0.608893,-34,-68000,-8347875,-426543,-4318
0.613001,5,10000,-8336450,87496,-4023
0.617135,35,70000,-8348675,492165,-3802
0.621331,46,92000,-8361325,656220,-3717
0.625484,-133,-266000,-8364675,-1498369,-4946
0.629599,14,28000,-8368625,174992,-3987
0.633781,68,136000,-8337700,590598,-3716
0.637923,22,44000,-8347300,229677,-3942
0.642030,11,22000,-8339450,153118,-3986
0.646194,39,78000,-8341900,481228,-3800
0.650317,62,124000,-8340525,689031,-3676
0.654584,-28,-56000,-8357000,-185929,-4199
0.658730,-69,-138000,-8352900,-754653,-4514
0.662946,-3,-6000,-8370700,54685,-4063
0.667063,35,70000,-8364925,306236,-3901
0.671204,35,70000,-8376450,492165,-3816
0.675363,26,52000,-8363200,185929,-3967
0.679554,32,64000,-8364500,393732,-3861
0.683722,-13,-26000,-8373675,-87496,-4144
0.687920,-7,-14000,-8382050,-131244,-4164
0.692067,-24,-48000,-8377325,-328110,-4274
0.696295,-4,-8000,-8391775,54685,-4075
0.700463,14,28000,-8391300,98433,-4036
0.704647,5,10000,-8388650,65622,-4059
0.708768,16,32000,-8378200,120307,-4017
0.712897,-41,-82000,-8391175,-349984,-4308
0.717021,13,26000,-8375500,65622,-4045
0.721177,-21,-42000,-8365750,-251551,-4228
0.725289,-32,-64000,-8355875,-371858,-4293
0.729514,-2,-4000,-8354850,-65622,-4114
0.733597,-35,-70000,-8358900,-317173,-4271
0.737791,-60,-120000,-8352500,-601535,-4431
0.741887,35,70000,-8352675,393732,-3852
0.746108,-33,-66000,-8374200,-284362,-4260
0.750357,-12,-24000,-8372950,-76559,-4137
0.754533,25,50000,-8367375,218740,-3954
0.758667,44,88000,-8350000,360921,-3858
0.762799,45,90000,-8344025,448417,-3811
0.766943,22,44000,-8350425,262488,-3928
0.771115,58,116000,-8345450,612472,-3719
0.775322,-11,-22000,-8338475,-164055,-4162
0.779546,-10,-20000,-8333325,-76559,-4116
0.783683,-23,-46000,-8318775,-218740,-4191
0.787845,27,54000,-8342600,360921,-3871
0.791946,-59,-118000,-8351725,-689031,-4472
0.796132,25,50000,-8348525,218740,-3945
0.800282,69,138000,-8319950,601535,-3701
0.804367,-6,-12000,-8338350,0,-4077
0.808468,-9,-18000,-8358250,-10937,-4095
0.812636,14,28000,-8388150,306236,-3933
0.816812,51,102000,-8368675,492165,-3796
0.820974,-7,-14000,-8383450,-43748,-4122
0.825127,42,84000,-8366125,448417,-3825
0.829290,10,20000,-8353950,32811,-4053
0.833426,6,12000,-8342675,120307,-4009
0.837652,-26,-52000,-8349475,-328110,-4262
0.841896,-31,-62000,-8342125,-328110,-4264
0.846016,-12,-24000,-8334000,-185929,-4172
0.850124,-10,-20000,-8342650,-87496,-4126
0.854344,35,70000,-8346525,415606,-3838
0.858495,-93,-186000,-8339550,-1028078,-4665
0.862622,36,72000,-8359275,459354,-3822
0.866698,14,28000,-8358450,284362,-3929
0.870845,13,26000,-8355225,109370,-4014
0.874920,37,74000,-8345600,360921,-3863
0.879093,27,54000,-8333350,284362,-3904
0.883339,0,0,-8330950,-10937,-4073
0.887554,-34,-68000,-8317100,-481228,-4329
0.891715,-17,-34000,-8324950,-164055,-4162
0.895897,-11,-22000,-8332800,-109370,-4133
0.900032,-18,-36000,-8337200,-251551,-4211
0.904164,13,26000,-8350950,174992,-3979
0.908352,5,10000,-8356375,109370,-4022
0.912576,-30,-60000,-8378325,-262488,-4248
0.916775,21,42000,-8361175,164055,-3982
0.920890,-4,-8000,-8358850,-76559,-4123
0.925078,45,90000,-8366175,590598,-3753
0.929278,-21,-42000,-8361550,-196866,-4199
0.933532,29,58000,-8370700,360921,-3883
0.937621,38,76000,-8355050,317173,-3888
0.941759,19,38000,-8346975,262488,-3929
0.945888,42,84000,-8336925,393732,-3837
0.950041,-76,-152000,-8325225,-787464,-4524
0.954222,1,2000,-8317275,120307,-4001
0.958374,40,80000,-8315050,426543,-3813
0.962570,-25,-50000,-8318925,-164055,-4166
0.966816,24,48000,-8333975,349984,-3875
0.971009,3,6000,-8328250,65622,-4032
0.975136,20,40000,-8331525,196866,-3952
0.979337,5,10000,-8342825,32811,-4053
0.983503,-1,-2000,-8353550,-87496,-4123
0.987632,-44,-88000,-8345025,-546850,-4385
0.991798,53,106000,-8339700,546850,-3753
0.995912,14,28000,-8351000,207803,-3962
1.000054,19,38000,-8339825,32811,-4038
1.008233,698,1396000,-7254250,1760857,-2001
1.012390,2753,5506000,-2089325,6562200,4872
1.016618,2742,5484000,7723975,-1443684,5744
1.020746,1126,2252000,14290500,-5096642,5589
1.024880,93,186000,15595825,-1782731,6835
1.029019,-476,-952000,15237625,-2592069,5710
1.033273,-333,-666000,13169425,1542117,6858
1.037441,23,46000,11923100,2767061,7195
1.041620,367,734000,12745250,-98433,6534
1.045822,-169,-338000,12604725,393732,6182
1.050015,-71,-142000,13671025,-2832683,5223
1.054140,-69,-138000,13342075,-1498369,5716
1.058286,195,390000,13023025,995267,7035
1.062452,-103,-206000,13764850,-2515510,5392
1.066649,223,446000,12908150,3237352,8101
1.070844,-679,-1358000,12613550,-3084234,3990
1.075007,-412,-824000,11899625,-1662424,4596
1.079225,516,1032000,12255300,1695235,7316
1.083346,-104,-208000,13336175,-2231148,5321
1.087512,444,888000,13633850,656220,7411
1.091663,25,50000,13224000,2723313,7811
1.095895,137,274000,13134550,2581132,7807
1.100061,311,622000,14204075,-590598,6951
1.104236,-524,-1048000,13414950,-10937,6033
1.108380,-223,-446000,13293900,-1771794,5408
1.112613,-10,-20000,12260375,754653,6345
1.116811,367,734000,11877825,3007675,7627
1.120962,303,606000,13292625,-842149,6375
1.125109,400,800000,13154025,3784202,8661
1.129286,-191,-382000,14007775,-1924912,5713
1.133502,-168,-336000,14024000,-1924912,5744
1.137688,258,516000,14333450,765590,7625
1.141863,-484,-968000,14267650,-2165526,5437
1.146055,43,86000,13073300,984330,6906
1.150276,-265,-530000,11959200,2329581,6718
1.154477,-75,-150000,11668800,1006204,6116
1.158616,567,1134000,12971250,306236,7037
1.162755,-359,-718000,13374450,-2132715,5139
1.166921,98,196000,14343175,-2362392,5946
1.171113,101,202000,13873925,1006204,7364
1.175259,9,18000,13229675,1159322,7035
1.179447,-73,-146000,13573075,-1498369,5825
1.183560,155,310000,12640850,3981068,8268
1.187697,-286,-572000,13279850,-2810809,4833
1.191841,-205,-410000,12976325,-2176463,5073
1.196005,194,388000,12828425,732779,6811
1.200172,-166,-332000,13478500,-2034282,5426
1.204448,353,706000,13142275,1826479,7654
1.208564,-239,-478000,13166475,0,6196
1.212755,11,22000,13464650,524976,6842
1.216889,438,876000,14463100,503102,7735
1.221091,-640,-1280000,14493450,-3948257,4524
1.225241,-151,-302000,14069525,-1465558,6007
1.229528,-5,-10000,12689100,3292037,7798
1.233694,23,46000,11975275,1848353,6772
1.237857,354,708000,13130975,-710905,6410
1.242031,14,28000,13064575,1881164,7311
1.246185,-160,-320000,13988700,-2504573,5451
1.250291,-91,-182000,13952100,-2187400,5656
1.254579,123,246000,14101150,-404669,6808
1.258759,-269,-538000,14441050,-1749920,5934
1.262924,-30,-60000,12904200,2373329,7430
1.267090,-706,-1412000,11863450,-1738983,4254
1.271262,-260,-520000,11486950,-1049952,4842
1.275377,604,1208000,12480525,896834,7122
1.279538,-317,-634000,13662850,-4090438,4364
1.283696,223,446000,13831075,-787464,6587
1.287916,128,256000,13347325,2821746,8020
1.292090,93,186000,13275350,1684298,7395
1.296313,277,554000,14215775,-240614,7094
1.300494,-539,-1078000,13138375,349984,6060
1.304729,-292,-584000,12987650,-1793668,5181
1.308895,34,68000,12306425,-87496,5999
1.313067,342,684000,12266775,1520243,7066
1.317257,67,134000,13596325,-2318644,5572
1.321552,347,694000,13187775,3204541,8343
1.325690,-328,-656000,13526450,-1618676,5494
1.329891,-180,-360000,13571575,-1410873,5762
