# pid_debug_capture v1
# port: /dev/tty.usbserial-210
# alias: X
# duration_s: 8.0
# set_pid: 2000 5 175000
# move_rotations: 2.0
# move_time_s: 2.0
# move_delay_s: 1.0
# capture_started: 2026-07-07 21:21:20
# move_sent_at_s: 1.006886
# n_samples: 1928
# timeouts: 0
t_s,error,p_term,i_term,d_term,output
0.000000,-914,-1828000,-66195,-2788680,-2287
0.004141,-956,-1912000,-860280,120296,-1295
0.008177,-950,-1900000,-1510255,224188,-1556
0.012314,-930,-1860000,-2134800,377292,-1766
0.016512,-919,-1838000,-2784095,289804,-2115
0.020740,-738,-1476000,-3352775,508524,-2109
0.024818,-796,-1592000,-3882375,60148,-2644
0.028832,-732,-1464000,-4391310,399164,-2664
0.032988,-663,-1326000,-4875655,355420,-2855
0.037179,-532,-1064000,-5282115,164040,-3019
0.041291,-548,-1096000,-5627855,-109360,-3337
0.045508,-505,-1010000,-5960720,-5468,-3406
0.049635,-452,-904000,-6296220,246060,-3396
0.053742,-455,-910000,-6599005,21872,-3656
0.057773,-363,-726000,-6872135,109360,-3657
0.061871,-281,-562000,-7071030,-10936,-3732
0.066001,-193,-386000,-7210920,5468,-3707
0.070071,-117,-234000,-7311990,147636,-3612
0.074152,-181,-362000,-7399060,-229656,-3902
0.078240,-132,-264000,-7482845,-27340,-3796
0.082318,-107,-214000,-7557805,5468,-3792
0.086371,-120,-240000,-7630670,-16404,-3851
0.090485,-96,-192000,-7695260,16404,-3843
0.094506,-57,-114000,-7749975,109360,-3786
0.098539,-88,-176000,-7807580,27340,-3885
0.102788,-108,-216000,-7856655,-213252,-4046
0.107012,-72,-144000,-7905545,-5468,-3933
0.111156,-62,-124000,-7951530,32808,-3927
0.115229,-46,-92000,-7997685,136700,-3883
0.119388,-90,-180000,-8035820,-174976,-4097
0.123484,-43,-86000,-8070320,5468,-3980
0.127554,-24,-48000,-8105005,158572,-3904
0.131594,-67,-134000,-8139300,-103892,-4090
0.135624,-48,-96000,-8165335,-71084,-4069
0.139787,-31,-62000,-8189525,-5468,-4032
0.143848,-42,-84000,-8215330,-16404,-4060
0.147910,1,2000,-8236180,218720,-3914
0.151956,-40,-80000,-8254245,-87488,-4112
0.156084,-65,-130000,-8271270,-213252,-4206
0.160275,-74,-148000,-8289700,-240592,-4237
0.164481,-54,-108000,-8303680,-207784,-4209
0.168601,24,48000,-8321425,235124,-3925
0.172622,-5,-10000,-8332740,71084,-4039
0.176732,-25,-50000,-8344055,-71084,-4133
0.180872,45,90000,-8358030,393696,-3845
0.184902,-31,-62000,-8371325,-32808,-4134
0.189041,-5,-10000,-8385475,114828,-4043
0.193179,-57,-114000,-8398660,-224188,-4266
0.197280,-14,-28000,-8408015,-21872,-4130
0.201377,-26,-52000,-8412810,-109360,-4187
0.205615,-56,-112000,-8416330,-262464,-4292
0.209707,-21,-42000,-8421075,-103892,-4183
0.213824,-26,-52000,-8425385,-109360,-4193
0.217946,13,26000,-8424750,32808,-4085
0.222088,39,78000,-8426820,240592,-3959
0.226259,24,48000,-8429095,153104,-4018
0.230365,5,10000,-8430875,16404,-4104
0.234434,-15,-30000,-8428885,-114828,-4186
0.238667,-16,-32000,-8424710,-120296,-4188
0.242771,-14,-28000,-8417625,-87488,-4167
0.246791,70,140000,-8414950,349952,-3870
0.250833,-44,-88000,-8408225,-284336,-4287
0.255021,56,112000,-8403465,284336,-3910
0.259070,-41,-82000,-8397455,-295272,-4285
0.263243,17,34000,-8392750,60148,-4052
0.267283,-11,-22000,-8388970,-120296,-4166
0.271360,-2,-4000,-8381570,-82020,-4135
0.275529,28,56000,-8373345,92956,-4016
0.279669,39,78000,-8364250,136700,-3979
0.283757,-8,-16000,-8356380,-120296,-4147
0.287925,60,120000,-8353170,300740,-3873
0.292134,9,18000,-8348835,32808,-4052
0.296224,-18,-36000,-8341030,-153104,-4165
0.300272,35,70000,-8338875,191380,-3944
0.304503,59,118000,-8331110,246060,-3890
0.308547,42,84000,-8323535,180444,-3935
0.312789,22,44000,-8316055,92956,-3994
0.316869,21,42000,-8307090,82020,-3996
0.320970,26,52000,-8299945,65616,-3995
0.325042,-14,-28000,-8294190,-114828,-4120
0.329099,36,72000,-8288575,164040,-3932
0.333174,-17,-34000,-8278920,-185912,-4150
0.337317,3,6000,-8266905,-120296,-4092
0.341454,23,46000,-8261870,98424,-3964
0.345724,-24,-48000,-8256020,-174976,-4140
0.349873,32,64000,-8250120,92956,-3952
0.354074,24,48000,-8246105,98424,-3955
0.358122,45,90000,-8236195,158572,-3900
0.362174,18,36000,-8225745,0,-3999
0.366254,6,12000,-8221440,-21872,-4019
0.370554,-49,-98000,-8215270,-322612,-4217
0.374714,24,48000,-8208470,92956,-3939
0.378809,57,114000,-8202250,229656,-3837
0.382944,66,132000,-8198320,360888,-3762
0.387159,11,22000,-8191265,38276,-3970
0.391277,5,10000,-8183405,-82020,-4031
0.395377,-4,-8000,-8172170,-120296,-4053
0.399500,26,52000,-8166335,71084,-3927
0.403583,-20,-40000,-8158585,-185912,-4094
0.407624,42,84000,-8152360,180444,-3852
0.411723,44,88000,-8146740,196848,-3839
0.415764,-14,-28000,-8140745,-120296,-4047
0.419920,36,72000,-8136180,169508,-3855
0.424001,5,10000,-8131500,-54680,-3992
