# overshoot study v1
# set_pid: 2000 25 1400000
# burst: 15.0 rev/s for 0.04 s, sent at t=1.0162, stop at t=1.0562
# fatal_error: 0
t_s,error,p_term,i_term,d_term,output
0.000000,-748,-1496000,-4886500,18243750,5792
0.004153,4192,8384000,-1270225,55868750,30753
0.008397,1231,2462000,-216925,-11550000,-4543
0.012530,-3578,-7156000,-1902175,-61687500,-34544
0.016661,-4098,-8196000,-5173825,-22837500,-17679
0.020685,716,1432000,-5697775,29881250,12508
0.025198,2802,5604000,-4594725,53156250,26448
0.029492,1438,2876000,-1452225,-8706250,-3556
0.033822,-2952,-5904000,-2195475,-57750000,-32153
0.038044,-1673,-3346000,-4118025,2406250,-2470
0.044884,2692,5384000,-2666450,51975000,26705
0.049116,3009,6018000,-3034625,55912500,28758
0.053241,3167,6334000,-570025,21087500,13111
0.057548,-566,-1132000,179375,-34956250,-17534
0.061785,-3210,-6420000,-1115775,-53550000,-29827
0.065924,769,1538000,-1864450,35743750,17294
0.070081,3121,6242000,-1501925,60462500,31837
0.079160,1281,2562000,-531975,-15006250,-6336
0.083498,1635,3270000,-4895875,55037500,26080
0.087605,3487,6974000,-2830100,18287500,10953
0.091711,-1190,-2380000,-804325,-40512500,-21336
0.095824,-3402,-6804000,-2748725,-55693750,-31859
0.099909,-1632,-3264000,-4646100,12293750,2140
0.104022,2984,5968000,-3201275,53943750,27691
0.108215,3507,7014000,-665675,28218750,16878
0.112357,-1046,-2092000,-384225,-37625000,-19581
0.118358,-3640,-7280000,-3093900,-43487500,-26300
0.123433,-599,-1198000,-2054100,-36181250,-19255
0.127792,995,1990000,-2976975,32900000,15583
0.132027,3057,6114000,-834800,38762500,21505
0.136125,-1074,-2148000,-1530875,-33862500,-18331
0.147756,-3391,-6782000,-2267775,-62168750,-34775
0.151885,1615,3230000,-2815525,44493750,21928
0.156007,4030,8060000,-606375,57575000,31752
0.160239,1079,2158000,512775,-11375000,-4250
0.164379,-3597,-7194000,-985700,-56656250,-31658
0.168409,-3334,-6668000,-2733000,-44668750,-26401
0.172512,-579,-1158000,-4595900,27212500,10478
0.177589,3825,7650000,-4223750,60287500,31110
