# overshoot study v1
# set_pid: 2000 25 350000
# burst: 15.0 rev/s for 0.04 s, sent at t=1.0110, stop at t=1.0510
# fatal_error: 0
t_s,error,p_term,i_term,d_term,output
0.000000,-56,-112000,6887000,-645283,2993
0.004067,51,102000,6874525,645283,3722
0.008122,-77,-154000,6888050,-853086,2872
0.012155,-17,-34000,6896200,-185929,3260
0.016218,30,60000,6893725,382795,3582
0.020417,-24,-48000,6894775,-207803,3242
0.024624,33,66000,6906500,393732,3597
0.028658,68,136000,6915650,864023,3865
0.032680,-11,-22000,6919325,32811,3384
0.036820,-15,-30000,6935825,-109370,3319
0.040957,-1,-2000,6935700,-10937,3380
0.045083,-31,-62000,6938625,-328110,3198
0.049320,47,94000,6921400,481228,3660
0.054465,60,120000,6909800,765590,3806
0.058716,83,166000,6923900,820275,3862
0.062915,-50,-100000,6922825,-623409,3027
0.066921,-32,-64000,6915800,-240614,3228
0.071012,16,32000,6921825,207803,3497
0.075093,1,2000,6926650,65622,3415
0.079201,23,46000,6929125,229677,3518
0.083320,-5,-10000,6935000,10937,3387
0.088280,3,6000,6927575,153118,3460
0.093002,-11,-22000,6914250,-153118,3291
0.097118,-18,-36000,6928200,-218740,3259
0.101205,-10,-20000,6917175,-87496,3325
0.105374,-15,-30000,6911475,-54685,3333
0.109466,13,26000,6913850,196866,3485
0.113493,-15,-30000,6922625,-120307,3307
0.117619,2,4000,6901425,142181,3441
0.121784,41,82000,6908400,349984,3584
0.126109,-19,-38000,6898450,-185929,3259
0.130974,42,84000,6876100,557787,3671
0.136118,29,58000,6864775,470291,3610
0.140287,51,102000,6861325,590598,3688
0.144330,25,50000,6848925,404669,3566
0.148726,34,68000,6855975,393732,3573
0.156122,5,10000,6850050,65622,3382
0.160306,42,84000,6873625,393732,3590
0.164447,-15,-30000,6871300,-142181,3271
0.168679,24,48000,6876975,415606,3584
0.172790,-48,-96000,6887975,-448417,3097
0.176858,48,96000,6910175,667157,3747
0.180991,33,66000,6902325,514039,3653
0.185192,27,54000,6909550,339047,3566
0.189283,-5,-10000,6923025,-131244,3311
0.193341,2,4000,6935275,0,3388
0.197365,-67,-134000,6929425,-667157,2992
0.203691,24,48000,6916625,448417,3620
0.208264,-14,-28000,6926025,-98433,3320
0.213590,-36,-72000,6908450,-273425,3205
0.220997,10,20000,6899900,164055,3459
0.225253,-45,-90000,6891650,-492165,3081
0.229391,22,44000,6914425,196866,3494
0.234343,40,80000,6933950,481228,3660
0.238846,-11,-22000,6940275,10937,3383
0.243087,1,2000,6930725,153118,3460
0.247338,82,164000,6921225,1017141,3956
0.257781,20,40000,6936900,120307,3465
0.261975,-52,-104000,6904725,-535913,3059
0.266140,42,84000,6913675,371858,3598
0.270334,-42,-84000,6934850,-492165,3105
0.274397,-65,-130000,6935875,-656220,3003
0.278402,-52,-104000,6920100,-382795,3141
0.282536,23,46000,6902600,306236,3542
0.286611,46,92000,6897275,546850,3680
0.290749,30,60000,6911075,382795,3591
0.294923,37,74000,6909175,514039,3661
0.299025,81,162000,6891600,1060889,3962
0.303115,36,72000,6895025,393732,3594
0.307267,5,10000,6882075,273425,3499
0.312104,61,122000,6882800,787464,3805
0.316316,2,4000,6889425,32811,3382
0.320423,-77,-154000,6883500,-885897,2853
0.324495,-52,-104000,6882625,-568724,3032
0.328615,25,50000,6876875,328110,3542
0.336113,-11,-22000,6875950,65622,3379
0.340359,59,118000,6892850,579661,3706
0.344537,-2,-4000,6885525,120307,3419
0.348715,47,94000,6894600,481228,3647
0.352905,10,20000,6902950,185929,3471
0.357050,55,110000,6898125,656220,3742
0.361141,22,44000,6888325,393732,3577
0.365218,57,114000,6890600,809338,3815
0.369450,0,0,6902875,43748,3392
0.373573,-34,-68000,6909250,-339047,3175
0.377592,53,106000,6929375,568724,3713
0.381676,6,12000,6922500,65622,3418
0.385746,44,88000,6919575,492165,3662
0.389937,-8,-16000,6915125,54685,3395
0.393975,12,24000,6923750,142181,3462
0.398111,-17,-34000,6921600,-196866,3267
0.402419,-27,-54000,6926025,-229677,3243
0.406753,42,84000,6919850,645283,3735
0.410934,-22,-44000,6911900,-207803,3252
0.415161,37,74000,6894950,426543,3611
0.426030,9,18000,6896525,87496,3419
0.430345,2,4000,6903425,-32811,3357
0.434500,-17,-34000,6898575,-109370,3298
0.438565,-25,-50000,6888825,-153118,3265
0.442663,18,36000,6884275,240614,3497
0.446823,17,34000,6879225,328110,3536
0.450960,-20,-40000,6882350,-153118,3266
0.455112,9,18000,6870850,207803,3465
0.459148,-7,-14000,6850625,21874,3349
0.463250,-30,-60000,6857950,-371858,3138
0.467408,64,128000,6875100,710905,3767
0.471690,23,46000,6884950,262488,3512
0.475936,-6,-12000,6883200,32811,3371
0.481190,20,40000,6880550,306236,3529
0.493055,42,84000,6889325,470291,3635
0.497242,46,92000,6895750,535913,3674
