# overshoot study v1
# set_pid: 2000 25 1400000
# burst: 15.0 rev/s for 0.04 s, sent at t=1.0131, stop at t=1.0531
# fatal_error: 0
t_s,error,p_term,i_term,d_term,output
0.000000,-2816,-5632000,-1303950,-7043750,-6826
0.004104,4173,8346000,-542975,60068750,33141
0.008131,2243,4486000,901100,-568750,2353
0.012252,-2149,-4298000,821900,-45762500,-24042
0.016390,-3807,-7614000,-2162525,-45193750,-26841
0.020494,-872,-1744000,-3336675,22881250,8692
0.024558,2995,5990000,-4410350,57881250,29034
0.028626,4450,8900000,-2284925,56306250,30723
0.032869,2146,4292000,663500,-11068750,-2985
0.036987,-3156,-6312000,1159550,-61775000,-32679
0.040993,-3177,-6354000,-709150,-20737500,-13575
0.045029,462,924000,-1384325,30362500,14601
0.049226,3283,6566000,-129150,60506250,32687
0.053354,1701,3402000,1108050,-1706250,1369
0.057385,-2354,-4708000,905400,-52062500,-27278
0.061581,-3660,-7320000,-316150,-49087500,-27697
0.065718,-49,-98000,-2155175,28481250,12807
0.069742,3836,7672000,-705750,61031250,33202
0.073847,3085,6170000,1019850,25243750,15837
0.077933,-1384,-2768000,1104600,-35437500,-18116
0.082033,-3369,-6738000,-1118075,-60418750,-33337
0.086232,-1266,-2532000,-2157050,6300000,787
0.090369,3559,7118000,-341475,52412500,28901
0.094597,3603,7206000,2191475,41475000,24840
0.098743,-1390,-2780000,2078300,-38062500,-18928
0.102937,-3886,-7772000,-176875,-55825000,-31140
0.107136,-496,-992000,-2449600,22443750,9278
0.111377,3306,6612000,-2328150,60025000,31401
0.119377,2315,4630000,362650,-1618750,1647
0.123604,-3677,-7354000,-394450,-59106250,-32644
0.127758,-990,-1980000,-1642625,13956250,5046
0.131900,3782,7564000,604825,57837500,32230
0.136032,3250,6500000,3357350,19818750,14490
0.140176,-592,-1184000,2681725,-26775000,-12342
0.144262,-3286,-6572000,-457450,-59893750,-32677
0.148347,-2961,-5922000,-1752375,-27212500,-17035
0.152375,339,678000,-1098275,32243750,15539
0.156553,3808,7616000,-411125,62168750,33874
0.160636,2630,5260000,2542150,4550000,6031
0.164853,-2129,-4258000,1694950,-39681250,-20627
0.169260,-3575,-7150000,-1978850,-38325000,-23171
0.173569,2595,5190000,-2308550,46812500,24265
0.179409,4741,9482000,836925,57487500,33109
0.184595,-1714,-3428000,-685725,13825000,4742
0.188962,1302,2604000,1427500,-15443750,-5572
0.193118,-4083,-8166000,696750,-60900000,-33383
0.197269,-1818,-3636000,-2093825,8837500,1517
0.201408,3286,6572000,-2059275,58537500,30786
0.205536,3405,6810000,1050975,13431250,10397
0.209579,-1219,-2438000,1741800,-40250000,-19993
0.213661,-3842,-7684000,113375,-56131250,-31104
0.217830,-1577,-3154000,-3316350,10237500,1839
0.221915,3802,7604000,-1159150,56131250,30555
0.226044,3126,6252000,1512650,31850000,19343
0.230178,-947,-1894000,1511400,-35700000,-17618
0.234390,-3174,-6348000,504625,-59762500,-32034
0.238484,-860,-1720000,-1232025,22093750,9347
