# overshoot study v1
# set_pid: 2000 5 350000
# burst: 15.0 rev/s for 0.04 s, sent at t=1.0143, stop at t=1.0543
# fatal_error: 0
t_s,error,p_term,i_term,d_term,output
0.000000,65,130000,-3073610,699968,-1096
0.004087,5,10000,-3075495,43748,-1475
0.008243,-4,-8000,-3075775,-21874,-1516
0.012525,-5,-10000,-3071800,-164055,-1585
0.017486,56,112000,-3069895,612472,-1145
0.021654,20,40000,-3067475,109370,-1425
0.025828,79,158000,-3068495,896834,-983
0.029990,-5,-10000,-3070090,-98433,-1552
0.034150,10,20000,-3072360,21874,-1480
0.038227,-38,-76000,-3069955,-415606,-1739
0.042287,-30,-60000,-3073865,-306236,-1680
0.046367,-43,-86000,-3075350,-470291,-1773
0.050444,25,50000,-3068580,196866,-1378
0.054627,-39,-78000,-3066175,-601535,-1829
0.058788,6,12000,-3070545,240614,-1376
0.062846,1,2000,-3071240,21874,-1488
0.066958,12,24000,-3074315,328110,-1329
0.071034,12,24000,-3073615,229677,-1377
0.075164,37,74000,-3075560,437480,-1252
0.079277,6,12000,-3077160,174992,-1411
0.083391,-45,-90000,-3078590,-328110,-1707
0.087497,27,54000,-3081965,382795,-1292
0.091684,-12,-24000,-3084965,-21874,-1529
0.095718,50,100000,-3085370,546850,-1191
0.099980,68,136000,-3087685,831212,-1035
0.104107,-17,-34000,-3091870,-174992,-1612
0.108212,-52,-104000,-3095505,-524976,-1819
0.112250,87,174000,-3094665,853086,-1010
0.116282,23,46000,-3090890,32811,-1471
0.120303,-24,-48000,-3087345,-404669,-1729
0.124435,103,206000,-3086555,1082763,-878
0.128552,-64,-128000,-3086475,-765590,-1943
0.132607,59,118000,-3086015,557787,-1177
0.136720,1,2000,-3085255,-306236,-1655
0.140797,-2,-4000,-3081855,-153118,-1582
0.145089,-39,-78000,-3079675,-349984,-1713
0.149357,55,110000,-3076635,481228,-1214
0.153626,8,16000,-3070685,-43748,-1513
0.157967,-2,-4000,-3069475,-174992,-1586
0.162169,-24,-48000,-3069535,-273425,-1656
0.166180,6,12000,-3071095,196866,-1398
0.170278,34,68000,-3069510,273425,-1332
0.174406,-3,-6000,-3066420,-65622,-1532
0.178426,-59,-118000,-3065590,-524976,-1811
0.182462,-16,-32000,-3065415,-131244,-1576
0.186611,-25,-50000,-3065050,-317173,-1676
0.190817,-48,-96000,-3062210,-524976,-1798
0.194956,-20,-40000,-3062990,-240614,-1633
0.199093,-13,-26000,-3058735,-251551,-1629
