# overshoot study v1
# set_pid: 2000 25 87500
# burst: 15.0 rev/s for 0.04 s, sent at t=1.0129, stop at t=1.0529
# fatal_error: 0
t_s,error,p_term,i_term,d_term,output
0.000000,39,78000,5606200,114828,2832
0.004097,59,118000,5614300,131232,2863
0.008299,-36,-72000,5611175,-98424,2657
0.012401,-4,-8000,5618750,21872,2750
0.016509,27,54000,5622000,101158,2821
0.020699,-58,-116000,5640975,-172242,2614
0.024728,-56,-112000,5660825,-191380,2616
0.028849,-78,-156000,5656050,-210518,2583
0.032931,-13,-26000,5656925,-51946,2724
0.036945,12,24000,5671400,19138,2790
0.041010,4,8000,5665375,32808,2786
0.045108,-76,-152000,5660725,-199582,2592
0.049187,11,22000,5665975,41010,2797
0.053360,-35,-70000,5682725,-117562,2683
0.057458,-67,-134000,5676975,-166774,2625
0.061487,-8,-16000,5691025,-27340,2758
0.065597,-24,-48000,5692450,-38276,2737
0.069895,-61,-122000,5688500,-131232,2654
0.074116,6,12000,5692025,43744,2807
0.078248,-17,-34000,5679675,-16404,2749
0.082289,-58,-116000,5685600,-144902,2649
0.086341,-71,-142000,5685450,-180444,2619
0.090371,-9,-18000,5668300,2734,2760
0.094457,45,90000,5671075,103892,2864
0.098566,-14,-28000,5662225,-21872,2740
0.102755,29,58000,5663825,92956,2839
0.106823,37,74000,5671125,92956,2851
0.110847,19,38000,5679600,38276,2810
0.114994,6,12000,5686000,16404,2790
0.119084,-10,-20000,5659275,-13670,2747
0.123090,-23,-46000,5662750,-49212,2719
0.127159,34,68000,5665175,90222,2843
0.131171,-5,-10000,5669125,-27340,2750
0.135272,2,4000,5670425,19138,2780
0.139367,-18,-36000,5663275,-35542,2730
0.143427,26,52000,5669250,79286,2832
0.147483,51,102000,5684675,144902,2896
0.151580,34,68000,5687250,90222,2854
0.155732,-1,-2000,5693875,0,2779
0.159851,14,28000,5695725,21872,2805
0.163952,-12,-24000,5703175,-41010,2753
0.168080,16,32000,5702475,21872,2811
0.172214,7,14000,5714000,21872,2808
0.176398,18,36000,5713750,79286,2846
0.180501,-25,-50000,5703700,-62882,2730
0.184514,22,44000,5707650,65616,2840
0.188615,-38,-76000,5709075,-117562,2693
0.192738,17,34000,5692775,51946,2822
0.196961,4,8000,5693500,10936,2789
0.201249,29,58000,5695500,101158,2859
0.205801,-57,-114000,5699375,-123030,2667
0.210148,-95,-190000,5686450,-213252,2580
0.214334,-49,-98000,5684775,-82020,2688
0.218585,-74,-148000,5689300,-164040,2626
0.223362,-16,-32000,5688950,-19138,2753
0.227828,-59,-118000,5685975,-125764,2657
0.231891,-72,-144000,5661975,-128498,2632
0.235947,39,78000,5664350,87488,2847
0.239990,-17,-34000,5648425,-35542,2724
0.244085,26,52000,5641350,79286,2819
0.248150,40,80000,5640275,120296,2852
0.252240,9,18000,5639975,35542,2780
0.256402,7,14000,5647775,24606,2777
0.260569,6,12000,5662100,8202,2775
0.264665,-88,-176000,5684025,-240592,2572
0.268795,35,70000,5700375,76552,2855
0.272816,10,20000,5697725,10936,2797
0.276866,13,26000,5714475,19138,2812
0.280962,58,116000,5716800,144902,2919
0.285183,-17,-34000,5718450,-68350,2742
0.289332,67,134000,5693275,215986,2951
0.293462,34,68000,5660125,142168,2866
0.297709,-35,-70000,5668000,-90222,2689
0.303687,46,92000,5663975,139434,2879
0.307855,-24,-48000,5643400,-51946,2707
0.312020,-41,-82000,5658825,-87488,2680
0.316190,-4,-8000,5663550,38276,2780
0.320403,-69,-138000,5671675,-180444,2614
0.324545,19,38000,5669625,65616,2819
0.328679,-5,-10000,5658850,-5468,2756
0.332810,-36,-72000,5654875,-82020,2686
0.337066,-13,-26000,5657600,-35542,2732
0.341247,16,32000,5662325,57414,2808
0.345262,49,98000,5670750,147636,2889
