# pid_algorithm_sim v1
# alg: old
# set_pid: 2000 25 175000
# noise: 33, tau_max: 0.4, inertia: 5.4e-06, coulomb: 0.022, static: 0.13, viscous: 0.0009, load: 0, seed: 4
# move_sent_at_s: 1.000000
t_s,error,p_term,i_term,d_term,output,desired,actual,voltage
0.012800,46,92000,10275,169508,132,0,-46,0
0.012928,2,4000,8100,-60148,-24,0,-2,1
0.013056,49,98000,10725,185912,143,0,-49,0
0.013184,-58,-116000,9625,-410100,-253,0,58,1
0.013312,12,24000,8175,-5468,13,0,-12,0
0.013440,-31,-62000,5925,-235124,-143,0,31,1
0.013568,-52,-104000,3850,-339016,-215,0,52,1
0.013696,-16,-32000,4650,-147636,-86,0,16,1
0.013824,-67,-134000,3325,-431972,-275,0,67,2
0.013952,-3,-6000,3825,-76552,-39,0,3,1
0.014080,5,10000,4575,-38276,-12,0,-5,1
0.014208,4,8000,3025,-32808,-11,0,-4,1
0.014336,-7,-14000,3125,-98424,-54,0,7,1
0.014464,28,56000,4450,87488,72,0,-28,0
0.014592,44,88000,6250,164040,126,0,-44,0
0.014720,-69,-138000,5825,-470248,-295,0,69,2
0.014848,-6,-12000,5300,-114828,-60,0,6,1
0.014976,47,94000,5700,185912,139,0,-47,0
0.015104,-13,-26000,3450,-142168,-81,0,13,1
0.015232,-14,-28000,2325,-142168,-82,0,14,1
0.015360,6,12000,2575,-38276,-12,0,-6,1
0.015488,21,42000,850,60148,50,0,-21,0
0.015616,-34,-68000,-1500,-235124,-149,0,34,1
0.015744,23,46000,-1350,82020,61,0,-23,0
0.015872,78,156000,-950,382760,262,0,-78,1
0.016000,-6,-12000,500,-103892,-57,0,6,1
0.016128,15,30000,-1725,27340,27,0,-15,0
0.016256,6,12000,-3600,-16404,-4,0,-6,1
0.016384,-90,-180000,-7250,-535864,-354,0,90,2
0.016512,26,52000,-6875,114828,78,0,-26,0
0.016640,43,86000,-6000,202316,137,0,-43,0
0.016768,-33,-66000,-8050,-218720,-143,0,33,1
0.016896,9,18000,-8325,16404,12,0,-9,0
0.017024,-39,-78000,-8375,-262464,-171,0,39,1
0.017152,-44,-88000,-7075,-306208,-196,0,44,1
0.017280,-68,-136000,-9275,-431972,-282,0,68,2
0.017408,43,86000,-7150,174976,123,0,-43,0
0.017536,4,8000,-6900,-43744,-21,0,-4,1
0.017664,-28,-56000,-10725,-202316,-132,0,28,1
0.017792,30,60000,-10125,120296,83,0,-30,0
0.017920,-14,-28000,-9200,-136700,-85,0,14,1
0.018048,-12,-24000,-10275,-125764,-79,0,12,1
