# pid_algorithm_sim v1
# alg: old
# set_pid: 2000 5 175000
# noise: 33, tau_max: 0.4, inertia: 5.4e-06, coulomb: 0.022, static: 0.13, viscous: 0.0009, load: 0, seed: 4
# move_sent_at_s: 1.000000
t_s,error,p_term,i_term,d_term,output,desired,actual,voltage
0.000000,18,36000,90,98424,65,0,-18,0
0.000128,21,42000,460,92956,66,0,-21,0
0.000256,-43,-86000,100,-262464,-171,0,43,1
0.000384,-29,-58000,-55,-185912,-120,0,29,1
0.000512,-29,-58000,-220,-180444,-117,0,29,1
0.000640,15,30000,260,43744,36,0,-15,0
0.000768,5,10000,-80,-10936,-1,0,-5,1
0.000896,29,58000,350,103892,79,0,-29,0
0.001024,74,148000,800,339016,238,0,-74,0
0.001152,8,16000,1050,-43744,-14,0,-8,1
0.001280,24,48000,1065,49212,47,0,-24,0
0.001408,6,12000,1165,-54680,-21,0,-6,1
0.001536,2,4000,1355,-82020,-38,0,-2,1
0.001664,20,40000,1305,21872,30,0,-20,0
0.001792,20,40000,1290,16404,28,0,-20,0
0.001920,-19,-38000,1645,-213252,-122,0,19,1
0.002048,24,48000,1795,32808,40,0,-24,0
0.002176,-70,-140000,1185,-475716,-301,0,70,2
0.002304,11,22000,1065,-16404,3,0,-11,0
0.002432,-27,-54000,1055,-229656,-138,0,27,1
0.002560,-30,-60000,825,-240592,-147,0,30,1
0.002688,-47,-94000,430,-322612,-204,0,47,1
0.002816,45,90000,480,191380,137,0,-45,0
0.002944,-17,-34000,465,-158572,-94,0,17,1
0.003072,44,88000,750,169508,126,0,-44,0
0.003200,28,56000,695,76552,65,0,-28,0
0.003328,-4,-8000,495,-98424,-52,0,4,1
0.003456,-28,-56000,-60,-213252,-132,0,28,1
0.003584,29,58000,385,92956,73,0,-29,0
0.003712,12,24000,605,-10936,6,0,-12,0
0.003840,39,78000,740,142168,107,0,-39,0
0.003968,50,100000,395,213252,153,0,-50,0
0.004096,26,52000,330,76552,62,0,-26,0
0.004224,-10,-20000,680,-142168,-79,0,10,1
0.004352,30,60000,610,82020,69,0,-30,0
0.004480,20,40000,695,27340,33,0,-20,0
0.004608,13,26000,885,-16404,5,0,-13,0
