Designator,Mid X,Mid Y,Rotation,Layer
C1,138.72,-109.24,135.0,bottom
C10,129.78,-105.13,315.0,bottom
C11,128.73,-104.1,315.0,bottom
C12,152.91,-116.97,270.0,bottom
C13,149.87,-116.9,270.0,bottom
C14,132.9,-108.23,315.0,bottom
C15,130.82,-106.16,315.0,bottom
C16,151.35,-116.93,270.0,bottom
C17,149.845,-79.405,90.0,bottom
C18,143.48,-83.48,270.0,bottom
C19,131.86,-107.19,315.0,bottom
C2,160.6,-112.25,225.0,bottom
C20,150.945,-79.405,90.0,bottom
C21,134.3,-100.99,315.0,bottom
C22,133.1,-85.78,45.0,bottom
C23,151.995,-79.705,90.0,bottom
C24,156.13,-107.61,225.0,bottom
C25,132.10375,-89.345,0.0,bottom
C26,132.333751,-91.624999,270.0,bottom
C27,162.66,-110.16,225.0,bottom
C28,135.535,-81.345,135.0,bottom
C29,163.76,-109.18,225.0,bottom
C3,163.33,-102.14,225.0,bottom
C30,132.62,-82.92,135.0,bottom
C31,143.87,-116.885,270.0,bottom
C32,134.911992,-110.408008,315.0,bottom
C33,135.911992,-111.528008,315.0,bottom
C34,136.991992,-112.558008,315.0,bottom
C35,173.39,-88.23,90.0,bottom
C36,153.195,-81.505,180.0,bottom
C37,145.945,-83.655,0.0,bottom
C38,145.37,-116.885,270.0,bottom
C39,146.87,-116.885,270.0,bottom
C4,154.02,-105.53,225.0,bottom
C40,143.96,-109.78,180.0,bottom
C41,148.245,-79.705,90.0,bottom
C43,147.425,-110.9475,270.0,bottom
C44,128.1375,-89.289999,180.0,bottom
C45,130.4425,-90.055,270.0,bottom
C46,135.1,-94.25,0.0,bottom
C47,145.72,-82.38,0.0,bottom
C5,140.83,-107.14,135.0,bottom
C6,161.595576,-111.161558,225.0,bottom
C7,133.93,-109.27,315.0,bottom
C8,148.37,-116.9,270.0,bottom
C9,144.645,-79.105,90.0,bottom
D1,160.25,-74.09,35.5,bottom
D2,167.42,-80.97,32.0,bottom
J1,134.565477,-73.914523,135.0,top
J2,167.185001,-93.545,0.0,top
J4,149.55,-120.24,270.0,bottom
Q1,146.89,-100.93,22.5,bottom
Q2,156.39,-98.08,315.0,bottom
Q3,152.17,-100.82,337.5,bottom
Q4,142.67,-98.0,45.0,bottom
Q5,127.77,-92.3175,180.0,bottom
Q6,132.38,-96.68,0.0,bottom
R1,150.5,-107.58,90.0,bottom
R10,152.93,-113.56,0.0,bottom
R11,157.285,-78.175,180.0,bottom
R12,158.555,-77.155,180.0,bottom
R13,164.38,-83.66,225.0,bottom
R14,153.17,-111.34,270.0,bottom
R15,141.995,-82.605,0.0,bottom
R16,127.444999,-94.81,180.0,bottom
R17,172.63,-93.34,270.0,bottom
R19,129.67,-96.57,90.0,bottom
R2,172.62,-90.71,270.0,bottom
R20,141.1,-80.5,180.0,bottom
R23,144.26,-86.38,180.0,bottom
R24,143.045,-90.255,0.0,bottom
R25,153.19,-83.64,180.0,bottom
R26,140.655,-89.105,0.0,bottom
R27,140.97,-91.25,90.0,bottom
R29,146.645,-80.355,0.0,bottom
R3,143.86,-114.67,0.0,bottom
R4,168.615001,-90.935001,270.0,bottom
R5,168.385001,-93.615001,270.0,bottom
R6,130.57,-93.03,90.0,bottom
R7,148.185,-113.1775,180.0,bottom
R8,144.985,-85.095,0.0,bottom
R9,149.95,-114.65,0.0,bottom
SW1,153.54,-123.15,90.0,bottom
SW2,145.56,-123.15,270.0,bottom
TH1,146.645,-79.405,0.0,bottom
U1,137.45,-103.99,135.0,bottom
U10,169.75,-85.7,67.5,bottom
U11,128.832499,-85.68,270.0,bottom
U2,149.545,-83.505,270.0,bottom
U3,134.755,-84.355,45.0,bottom
U4,146.8,-76.7,189.6,top
U5,135.943749,-90.924999,0.0,bottom
U6,152.4,-76.8,170.4,top
U7,149.6,-76.5,180.0,top
U8,159.29,-104.249268,225.0,bottom
U9,144.62,-112.2375,180.0,bottom
