Designator,Mid X,Mid Y,Rotation,Layer
C1,163.05,-99.1,90,B
C2,143.2,-99.8,0,B
C3,145.5,-98.95,-90,B
C4,143.2,-98.2,0,B
C5,143.1,-81.1,90,B
C6,154.15,-99.55,0,B
C7,159.1,-98.89,90,B
C8,161.2,-98.9,90,B
C9,154.89,-84.79,-90,B
C12,157,-98.9,90,B
C14,137.4,-95.3,90,B
C15,141.6,-95.3,90,B
C17,149.7,-76.275,0,B
C18,132.65,-88.55,180,B
C19,139.5,-95.3,90,B
C20,151.9,-76.3,0,B
C22,156.45,-87.3,180,B
C23,144.84,-77.9,90,B
C25,142.15,-91.3,90,B
C26,140.7,-86.45,-90,B
C28,163.71,-87.77,0,B
C30,163.5,-85.4,-90,B
C32,142.9,-88.8,0,B
C33,145.2,-81.1,90,B
C35,155.2,-97.25,90,B
C36,139.05,-99.0075,-90,B
C37,153.18,-84.1,-90,B
C41,156.6,-84.1,-90,B
D3,160.556847,-80,135,B
D4,162.806847,-82.25,135,B
J4,144.55,-113.25,-90,B
R1,155.1,-104,-90,B
R2,150.35,-111.15,0,B
R3,143.8,-104.15,-90,B
R4,137.7,-86.8,90,B
R5,138.8,-86.8,90,B
R6,143.5,-90.75,90,B
R7,143.3,-94.4,90,B
R11,157.29,-79.62,0,B
R12,158.56,-78.25,0,B
R13,156.9,-89,0,B
R15,141.95,-78.8,180,B
R17,166.8,-97.1,0,B
R20,153.81,-79.8,180,B
R22,152.75,-87.95,0,B
R23,151.3,-80.84,180,B
R24,137.25,-98.1075,180,B
R25,159.1,-85,0,B
R26,137.75,-99.6075,-90,B
R27,136.65,-99.6075,90,B
R29,153.79,-82,180,B
TH1,153.78,-81.05,0,B
U5,149.55,-102.65,0,B
U8,149.6,-84.1,180,B
U9,160.1,-87.3,180,B
U10,158.7,-93.4,-90,B
U11,144.5,-85.4,0,B
U12,138.45,-90.5,180,B
J1,166.9,-95.2,180,T
J2,135.746878,-83.003123,135,T
SW1,152.6,-116.4,90,T
SW2,146.5,-116.4,-90,T
U4,147.7,-75.91,0,T
U6,153.5,-76.41,-10,T
U7,150.7,-76.01,-5,T
